TestcaseId,TestcaseType,Module,Description
,Positive,Voucher Recharge Request through External System,To verfiy that EVR request is successful by all valid details
,Positive,Voucher Recharge Request through External System,To verfiy that EVR request is successful with only MSISDN and PIN
,Positive,Voucher Recharge Request through External System,To verfiy that EVR request is successful with only LoginID and Password
,Positive,Voucher Recharge Request through External System,To verfiy that EVR request is successful with only External code of channel user.
,Positive,Voucher Recharge Request through External System,To verfiy that EVR request is successful if channel user is barred as receiver.
,Positive,Voucher Recharge Request through External System,To verfiy that EVR request is successful if date is blank
,Positive,Voucher Recharge Request through External System,To verfiy that EVR request is successful if channel user is insuspended
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if channel user is outsuspended
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if TCP of channel user is suspended
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if channel user is suspended
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if channel user is barred as sender
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if External Network  code is blank
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if External Network  code is invalid
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if PIN is not present and all other details of channel user are present.
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if PIN is invalid.
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if Password is invalid
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if LoginID is present and  Password is missing 
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if Extrernal Reference number is not unique.
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if MSISDN2 is blank
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if Amount is not present
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if Selector is missing.
,Negative,Voucher Recharge Request through External System,To verfiy that EVR request is not  successful if Amount present is negative.
